# Functions safe to replace (no internal ARM callers)
# addr size name
0x001fc559       32 _ZN7LocatorC2EP15LogicGameObject
0x001fc5b5        8 _ZNK7Locator15getLogicLocatorEv
0x001fc5bd      120 _ZN7LootBoxC1EP15LogicGameObject
0x001fc5bd      120 _ZN7LootBoxC2EP15LogicGameObject
0x001fc635       96 _ZNK7LootBox15getLogicLootBoxEv
0x001fc6cd      204 _ZN7LootBox24refreshPositionFromLogicEv
0x001fc7d1      412 _ZN6MonkeyC1EP14LogicDataTableiiiiiiibifbb
0x001fc7d1      412 _ZN6MonkeyC2EP14LogicDataTableiiiiiiibifbb
0x001fd009      384 _ZN8ObstacleC1EP15LogicGameObject
0x001fd009      384 _ZN8ObstacleC2EP15LogicGameObject
0x001fd3e1        8 _ZNK8Obstacle16getLogicObstacleEv
0x001fe089      524 _ZN10ProjectileC1EP15LogicGameObject
0x001fe089      524 _ZN10ProjectileC2EP15LogicGameObject
0x001fe295        8 _ZNK10Projectile18getLogicProjectileEv
